images,labels
unified_dataset/images/gadgil_62.jpeg,unified_dataset/labels/gadgil_62.txt
unified_dataset/images/gadgil_49.jpeg,unified_dataset/labels/gadgil_49.txt
unified_dataset/images/gadgil_34.jpeg,unified_dataset/labels/gadgil_34.txt
unified_dataset/images/gadgil_31.jpeg,unified_dataset/labels/gadgil_31.txt
unified_dataset/images/gadgil_3.jpeg,unified_dataset/labels/gadgil_3.txt
unified_dataset/images/gadgil_8.jpeg,unified_dataset/labels/gadgil_8.txt
unified_dataset/images/gadgil_37.jpeg,unified_dataset/labels/gadgil_37.txt
unified_dataset/images/gadgil_68.jpeg,unified_dataset/labels/gadgil_68.txt
unified_dataset/images/WhatsApp Image 2026-02-03 at 18.39.39.jpeg,unified_dataset/labels/WhatsApp Image 2026-02-03 at 18.39.39.txt
unified_dataset/images/gadgil_24.jpeg,unified_dataset/labels/gadgil_24.txt
unified_dataset/images/gadgil_12.jpeg,unified_dataset/labels/gadgil_12.txt
unified_dataset/images/gadgil_27.jpeg,unified_dataset/labels/gadgil_27.txt
unified_dataset/images/gadgil_28.jpeg,unified_dataset/labels/gadgil_28.txt
unified_dataset/images/WhatsApp Image 2026-02-03 at 19.54.25 (4).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-03 at 19.54.25 (4).txt
unified_dataset/images/gadgil_50.jpeg,unified_dataset/labels/gadgil_50.txt
unified_dataset/images/gadgil_44.jpeg,unified_dataset/labels/gadgil_44.txt
unified_dataset/images/gadgil_60.jpeg,unified_dataset/labels/gadgil_60.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 22.23.47.jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 22.23.47.txt
unified_dataset/images/gadgil_22.jpeg,unified_dataset/labels/gadgil_22.txt
unified_dataset/images/gadgil_64.jpeg,unified_dataset/labels/gadgil_64.txt
unified_dataset/images/gadgil_33.jpeg,unified_dataset/labels/gadgil_33.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 17.07.44.jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 17.07.44.txt
unified_dataset/images/WhatsApp Image 2026-02-03 at 19.54.25 (2).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-03 at 19.54.25 (2).txt
unified_dataset/images/gadgil_26.jpeg,unified_dataset/labels/gadgil_26.txt
unified_dataset/images/gadgil_41.jpeg,unified_dataset/labels/gadgil_41.txt
unified_dataset/images/gadgil_52.jpeg,unified_dataset/labels/gadgil_52.txt
unified_dataset/images/gadgil_11.jpeg,unified_dataset/labels/gadgil_11.txt
unified_dataset/images/gadgil_45.jpeg,unified_dataset/labels/gadgil_45.txt
unified_dataset/images/gadgil_13.jpeg,unified_dataset/labels/gadgil_13.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 22.23.46.jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 22.23.46.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 22.23.47 (1).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 22.23.47 (1).txt
unified_dataset/images/gadgil_10.jpeg,unified_dataset/labels/gadgil_10.txt
unified_dataset/images/gadgil_35.jpeg,unified_dataset/labels/gadgil_35.txt
unified_dataset/images/gadgil_47.jpeg,unified_dataset/labels/gadgil_47.txt
unified_dataset/images/gadgil_9.jpeg,unified_dataset/labels/gadgil_9.txt
unified_dataset/images/WhatsApp Image 2026-02-03 at 19.54.25.jpeg,unified_dataset/labels/WhatsApp Image 2026-02-03 at 19.54.25.txt
unified_dataset/images/gadgil_55.jpeg,unified_dataset/labels/gadgil_55.txt
unified_dataset/images/gadgil_30.jpeg,unified_dataset/labels/gadgil_30.txt
unified_dataset/images/gadgil_69.jpeg,unified_dataset/labels/gadgil_69.txt
unified_dataset/images/gadgil_1.jpeg,unified_dataset/labels/gadgil_1.txt
unified_dataset/images/WhatsApp Image 2026-02-02 at 17.07.44 (1).jpeg,unified_dataset/labels/WhatsApp Image 2026-02-02 at 17.07.44 (1).txt
unified_dataset/images/gadgil_78.jpeg,unified_dataset/labels/gadgil_78.txt
unified_dataset/images/gadgil_43.jpeg,unified_dataset/labels/gadgil_43.txt
unified_dataset/images/gadgil_75.jpeg,unified_dataset/labels/gadgil_75.txt
unified_dataset/images/gadgil_4.jpeg,unified_dataset/labels/gadgil_4.txt
unified_dataset/images/gadgil_71.jpeg,unified_dataset/labels/gadgil_71.txt
unified_dataset/images/gadgil_14.jpeg,unified_dataset/labels/gadgil_14.txt
unified_dataset/images/gadgil_56.jpeg,unified_dataset/labels/gadgil_56.txt
unified_dataset/images/gadgil_67.jpeg,unified_dataset/labels/gadgil_67.txt
unified_dataset/images/gadgil_61.jpeg,unified_dataset/labels/gadgil_61.txt
